What are Wolverine's claws made of?;Vibranium;Diamond;Titanium;Adamantium;4
Who does Captain America try to save in Civil War?;Ironman;Daredevil;Bucky;Vision;3
What is Cyclops' son's name?;Christian Summers;Nathan Summers;Wade Summers;Scott Summers;2
How many Infinity Stones are there?;6;5;7;4;1
Which princess governs the day?;Twilight Sparkle;Luna;Celestia;Cadence;3
Which of the mane 6 has diamonds as a Cutie Mark?;Rarity;Fluttershy;Rainbow Dash;Pinkie Pie;1
How many Elements of Harmony are there?;4;7;5;6;4
Which villain attacked Canterlot with an army?;King Sombra;Chrysalis;Tirek;Discord;2
Who does Rainbow Dash save from the apple pie?;Spitfire;Applejack;Soarin;Fleetfoot;3
Which pony race controls the weather?;Earth;Unicorns;Pegasi;Alicorns;3
How many years was the Crystal Empire hidden?;1000;2000;500;5000;1
How does Twilight become an alicorn?;By saving the kingdom;By solving a spell;By marrying a prince;By helping her friends;2
How do they discover who the real Pinkie Pie is among all her clones?;By telling a joke;By asking questions only Pinkie can answer;With a party;By watching paint dry on a wall;4
Which villain is reformed by Fluttershy?;Tirek;Nightmare Moon;The Great and Powerful Trixie;Discord;4
How does Tirek gain his powers?;By absorbing energy from the Tree of Harmony;By absorbing the magic of ponies;By using the Chaos Amulet;By absorbing power from the underworld;2
What is the name of the Princess of Love?;Celestia;Twilight Sparkle;Cadance;Luna;3
How many seasons of My Little Pony: Friendship is Magic are there?;4;6;5;7;2
Who is the Element of Laughter?;Pinkie Pie;Fluttershy;Rainbow Dash;Rarity;1
How many years did Celestia banish her sister to the moon?;500;2000;1000;1500;3
